,sentences,chapter_count,narration_is_0_dialogue_is_1,sentence_length,all_pos_counts,parts_of_speech_total_count,POS_PRON_count,POS_VERB_count,POS_ADP_count,POS_DET_count,POS_ADJ_count,POS_NOUN_count,POS_CCONJ_count,POS_PUNCT_count,POS_SCONJ_count,POS_ADV_count,POS_AUX_count,POS_PROPN_count,POS_NUM_count,POS_PART_count,POS_INTJ_count,POS_X_count,POS_SPACE_count,%POS_PRON_count,%POS_VERB_count,%POS_ADP_count,%POS_DET_count,%POS_ADJ_count,%POS_NOUN_count,%POS_CCONJ_count,%POS_PUNCT_count,%POS_SCONJ_count,%POS_ADV_count,%POS_AUX_count,%POS_PROPN_count,%POS_NUM_count,%POS_PART_count,%POS_INTJ_count,%POS_X_count,%POS_SPACE_count
4674,"""What Robert"" cried Alicia ""you surely won't go away without seeing papa?""",chapter_29,1,12,"[['PUNCT', 5], ['PRON', 2], ['PROPN', 2], ['VERB', 3], ['ADV', 2], ['AUX', 1], ['PART', 1], ['ADP', 1], ['NOUN', 1]]",18,2.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,11.111,16.667,5.556,0.0,0.0,5.556,0.0,27.778,0.0,11.111,5.556,11.111,0.0,5.556,0.0,0.0,0.0
4675,"""Yes my dear"" answered the young man.",chapter_29,1,7,"[['PUNCT', 3], ['INTJ', 1], ['PRON', 1], ['ADJ', 2], ['VERB', 1], ['DET', 1], ['NOUN', 1]]",10,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0,0.0,10.0,20.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
4676,"""I am a little disturbed by some disagreeable business in which I am very much concerned and I would rather not see my uncle.",chapter_29,1,24,"[['PUNCT', 2], ['PRON', 5], ['AUX', 3], ['DET', 2], ['ADJ', 3], ['VERB', 2], ['ADP', 2], ['NOUN', 2], ['ADV', 3], ['CCONJ', 1], ['PART', 1]]",26,5.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,19.231,7.692,7.692,7.692,11.538,7.692,3.846,7.692,0.0,11.538,11.538,0.0,0.0,3.846,0.0,0.0,0.0
4677,Goodnight Alicia.,chapter_29,1,2,"[['PROPN', 2], ['PUNCT', 1]]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0
4678,"I will come or write tomorrow.""",chapter_29,1,6,"[['PRON', 1], ['AUX', 1], ['VERB', 2], ['CCONJ', 1], ['NOUN', 1], ['PUNCT', 2]]",8,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,25.0,0.0,0.0,0.0,12.5,12.5,25.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0
4679,He pressed his cousin's hand bowed to Lady Audley and walked away under the black shadows of the archway and out into the quiet avenue beyond the Court.,chapter_29,0,28,"[['PRON', 2], ['VERB', 3], ['NOUN', 5], ['PART', 1], ['ADP', 5], ['PROPN', 3], ['CCONJ', 2], ['ADV', 2], ['DET', 4], ['ADJ', 2], ['PUNCT', 1]]",30,2.0,3.0,5.0,4.0,2.0,5.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.667,10.0,16.667,13.333,6.667,16.667,6.667,3.333,0.0,6.667,0.0,10.0,0.0,3.333,0.0,0.0,0.0
4680,My lady and Alicia stood watching him until he was out of sight.,chapter_29,0,13,"[['PRON', 3], ['NOUN', 2], ['CCONJ', 1], ['PROPN', 1], ['VERB', 2], ['SCONJ', 1], ['AUX', 1], ['ADP', 2], ['PUNCT', 1]]",14,3.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.429,14.286,14.286,0.0,0.0,14.286,7.143,7.143,7.143,0.0,7.143,7.143,0.0,0.0,0.0,0.0,0.0
4681,"""What in goodness' name is the matter with my Cousin Robert?""",chapter_29,1,11,"[['PUNCT', 3], ['PRON', 2], ['ADP', 2], ['NOUN', 3], ['PART', 1], ['AUX', 1], ['DET', 1], ['PROPN', 2]]",15,2.0,0.0,2.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,13.333,0.0,13.333,6.667,0.0,20.0,0.0,20.0,0.0,0.0,6.667,13.333,0.0,6.667,0.0,0.0,0.0
4682,exclaimed Miss Audley impatiently as the barrister disappeared.,chapter_29,0,8,"[['VERB', 2], ['PROPN', 2], ['ADV', 1], ['SCONJ', 1], ['DET', 1], ['NOUN', 1], ['PUNCT', 1]]",9,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,11.111,0.0,11.111,0.0,11.111,11.111,11.111,0.0,22.222,0.0,0.0,0.0,0.0,0.0
4683,"""What does he mean by these absurd goingson?",chapter_29,1,8,"[['PUNCT', 2], ['PRON', 2], ['AUX', 1], ['VERB', 1], ['ADP', 1], ['DET', 1], ['ADJ', 1], ['NOUN', 1]]",10,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
4684,Some disagreeable business that disturbs him indeed!,chapter_29,1,7,"[['DET', 1], ['ADJ', 1], ['NOUN', 1], ['PRON', 2], ['VERB', 1], ['ADV', 1], ['PUNCT', 1]]",8,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,12.5,12.5,12.5,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4685,"I suppose the unhappy creature has had a brief forced upon him by some evilstarred attorney and is sinking into a state of imbecility from a dim consciousness of his own incompetence.""",chapter_29,1,32,"[['PRON', 3], ['VERB', 5], ['DET', 5], ['ADJ', 3], ['NOUN', 7], ['AUX', 2], ['SCONJ', 1], ['ADP', 5], ['CCONJ', 1], ['PUNCT', 2]]",34,3.0,5.0,5.0,5.0,3.0,7.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.824,14.706,14.706,14.706,8.824,20.588,2.941,5.882,2.941,0.0,5.882,0.0,0.0,0.0,0.0,0.0,0.0
4686,"""Have you ever studied your cousin's character Alicia?""",chapter_29,1,8,"[['PUNCT', 3], ['AUX', 1], ['PRON', 2], ['ADV', 1], ['VERB', 1], ['NOUN', 2], ['PART', 1], ['PROPN', 1]]",12,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,16.667,8.333,0.0,0.0,0.0,16.667,0.0,25.0,0.0,8.333,8.333,8.333,0.0,8.333,0.0,0.0,0.0
4687,asked my lady very seriously after a pause.,chapter_29,0,8,"[['VERB', 1], ['PRON', 1], ['NOUN', 2], ['ADV', 2], ['ADP', 1], ['DET', 1], ['PUNCT', 1]]",9,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,11.111,11.111,11.111,0.0,22.222,0.0,11.111,0.0,22.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4688,"""Studied his character!",chapter_29,1,3,"[['PUNCT', 2], ['VERB', 1], ['PRON', 1], ['NOUN', 1]]",5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4689,No Lady Audley.,chapter_29,1,3,"[['DET', 1], ['PROPN', 2], ['PUNCT', 1]]",4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
